Felidae,Canidae
Pycnonotus jocosus,Pycnonotus sinensis
Pycnonotus jocosus,Pycnonotus aurigaster
Hemixos castanonotus,Pycnonotus aurigaster
Gracupica nigricollis,Motacilla alba
Motacilla alba,Motacilla cinerea
Copsychus saularis,Pica serica
Urocissa erythroryncha,Copsychus saularis
Acridotheres cristatellus,Acridotheres tristis
Sturnia sinensis,Spodiopsar sericeus
Spodiopsar sericeus,Spodiopsar cineraceus
Acridotheres cristatellus,Acridotheres grandis
Milvus migrans,Spilornis cheela
Milvus migrans,Buteo japonicus
Nycticorax nycticorax,Ardeola bacchus
Nycticorax nycticorax,Butorides striata
Pterorhinus perspicillatus,Pterorhinus chinensis
Pterorhinus perspicillatus,Pycnonotus jocosus
Ardea alba,Ardea intermedia
Ardea alba,Egretta garzetta
Ardea alba,Ardea cinerea
Egretta garzetta,Egretta sacra
Zosterops simplex,Zosterops japonicus
Orthotomus sutorius,Zosterops simplex
Myophonus caeruleus,Myophonus insularis
Myophonus caeruleus,Turdus mandarinus
Himantopus himantopus,Egretta garzetta
Parus minor,Parus cinereus
Parus minor,Pterorhinus chinensis
Eudynamys scolopaceus,Acridotheres cristatellus
Delias pasithoe,Delias acalis
Delias pasithoe,Delias hyparete
Delias pasithoe,Hestina assimilis
Papilio polytes,Papilio protenor
Papilio polytes,Papilio helenus
Papilio demoleus,Papilio xuthus
Mycalesis mineus,Mycalesis mucianus
Pseudozizeeria maha,Zizeeria karsandra
Pseudozizeeria maha,Zizula hylax
Luthrodes pandava,Euchrysops cnejus
Pseudozizeeria maha,Zizina otis
Mycalesis mineus,Mycalesis perseoides
Mycalesis mineus,Ypthima baldus
Hirundo rustica,Hirundo tahitica
Aethopyga christinae,Zosterops simplex
Platalea minor,Egretta garzetta
Lanius cristatus,Lanius schach
Emoia caeruleocauda,Plestiodon skiltonianus
Emoia caeruleocauda,Plestiodon quadrilineatus
